,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Saint-Philippe,35,RE,1603168732,50,-21.36,55.77,78.8,4.7
86,Upernavik,100,GL,1603168937,88,72.79,-56.15,33.78,10.2
87,Vila Franca do Campo,20,PT,1603168937,72,37.72,-25.43,60.8,16.11
88,College,90,US,1603168653,85,64.86,-147.8,21.99,1.81
89,São Filipe,19,CV,1603168938,71,14.9,-24.5,81.32,5.86
90,Sorong,82,ID,1603168938,80,-0.88,131.25,83.34,10.49
91,Mataura,88,NZ,1603168938,69,-46.19,168.86,52.0,11.01
92,Rio Grande,2,BR,1603168938,95,-32.03,-52.1,68.0,4.38
93,Bambous Virieux,40,MU,1603168938,69,-20.34,57.76,79.0,12.75
94,Moroto,60,UG,1603168938,60,2.53,34.67,71.35,5.95
95,Saskylakh,89,RU,1603168648,97,71.92,114.08,22.86,3.74
96,Ipixuna,77,BR,1603168938,94,-1.76,-48.8,75.2,2.24
97,Ancud,82,CL,1603168661,93,-41.87,-73.82,43.0,5.82
98,Chimbote,9,PE,1603168938,89,-9.09,-78.58,60.94,3.65
99,Nago,75,JP,1603168938,62,26.59,127.98,87.8,17.22
100,Cape Town,75,ZA,1603168639,93,-33.93,18.42,57.99,4.7
101,Torbay,5,CA,1603168939,87,47.67,-52.73,48.99,11.41
102,Manzhouli,100,CN,1603168655,48,49.6,117.43,48.07,9.57
103,Innisfail,43,AU,1603168939,65,-17.53,146.03,80.06,8.37
104,Rapid Valley,90,US,1603168939,91,44.06,-103.15,34.0,12.75
105,Barcelos,75,PT,1603168939,100,41.54,-8.62,60.8,12.75
106,New Norfolk,69,AU,1603168939,44,-42.78,147.06,69.01,1.99
107,Leningradskiy,22,RU,1603168939,90,69.38,178.42,25.66,7.07
108,Barra do Corda,13,BR,1603168939,76,-5.5,-45.25,76.48,2.89
109,Port Alfred,15,ZA,1603168940,68,-33.59,26.89,63.5,22.93
110,Castro,69,BR,1603168940,94,-24.79,-50.01,62.13,8.14
111,Smithers,20,CA,1603168940,92,54.78,-127.17,30.2,2.24
112,Harper,97,LR,1603168644,80,4.38,-7.72,76.55,6.53
113,Iqaluit,90,CA,1603168940,79,63.75,-68.51,26.6,9.17
114,Vao,42,NC,1603168700,77,-22.67,167.48,73.17,19.3
115,Lufilufi,75,WS,1603168940,94,-13.87,-171.6,80.6,4.7
116,Jāmadoba,0,IN,1603168941,37,23.72,86.4,88.74,5.03
117,Touros,40,BR,1603168819,88,-5.2,-35.46,73.4,4.7
118,Krasnaya Gora,75,RU,1603168941,100,53.0,31.6,33.8,13.42
119,Evensk,100,RU,1603168941,83,61.95,159.23,37.49,15.3
120,Avarua,62,CK,1603168941,78,-21.21,-159.78,78.8,3.36
121,Buluang,100,PH,1603168941,93,13.31,123.34,77.77,6.71
122,Vanimo,49,PG,1603168941,64,-2.67,141.3,85.69,5.82
123,Lebu,1,CL,1603168941,78,-37.62,-73.65,47.14,14.7
124,Chake Chake,16,TZ,1603168941,65,-5.25,39.77,80.69,7.76
125,Havre-St-Pierre,90,CA,1603168941,93,50.23,-63.6,42.8,2.24
126,Miracema do Tocantins,80,BR,1603168662,48,-9.56,-48.4,79.3,2.64
127,Shenjiamen,7,CN,1603168942,67,29.96,122.3,68.56,14.09
128,Chokurdakh,93,RU,1603168942,97,70.63,147.92,15.4,5.23
129,Wamba,52,NG,1603168942,89,8.93,8.6,70.92,2.06
130,Madang,99,PG,1603168942,72,-5.22,145.8,84.65,7.56
131,Hervey Bay,75,AU,1603168942,54,-25.3,152.85,80.01,13.87
132,Amapá,100,BR,1603168943,96,1.0,-52.0,70.47,2.24
133,Wagga Wagga,34,AU,1603168943,43,-35.12,147.37,73.4,2.24
134,Ozuluama de Mascareñas,5,MX,1603168943,94,21.67,-97.85,73.04,4.32
135,Severomuysk,100,RU,1603168943,89,56.15,113.43,15.67,6.96
136,Tarakan,100,ID,1603168781,81,3.3,117.63,80.58,7.52
137,Santa Fe,49,AR,1603168943,70,-31.63,-60.7,71.01,8.99
138,Roald,78,NO,1603168943,52,62.58,6.13,41.0,11.41
139,Saint Paul Harbor,1,US,1603168943,56,57.79,-152.41,44.6,8.05
140,Arraial do Cabo,97,BR,1603168645,83,-22.97,-42.03,72.14,21.41
141,Dikson,98,RU,1603168804,94,73.51,80.55,24.57,15.95
142,Oneida,90,US,1603168943,87,43.2,-75.47,55.4,4.7
143,Măcin,0,RO,1603168944,87,45.24,28.14,43.0,0.43
144,Fort Nelson,5,CA,1603168794,85,58.81,-122.7,15.8,3.36
145,Akdepe,0,TM,1603168944,32,42.06,59.38,55.4,2.24
146,Mahébourg,40,MU,1603168944,69,-20.41,57.7,77.0,12.75
147,Coyhaique,12,CL,1603168944,86,-45.58,-72.07,33.8,3.36
148,Beringovskiy,97,RU,1603168944,94,63.05,179.32,39.74,11.74
149,Hamilton,90,US,1603168944,100,39.18,-84.53,54.0,1.14
150,Makakilo City,90,US,1603168944,88,21.35,-158.09,82.0,9.17
151,Saldanha,47,ZA,1603168944,79,-33.01,17.94,58.46,3.76
152,Nurota,0,UZ,1603168944,50,40.56,65.69,55.4,4.7
153,Myaundzha,61,RU,1603168945,87,63.05,147.19,9.99,3.06
154,East London,20,ZA,1603168945,77,-33.02,27.91,60.8,18.34
155,Aljezur,100,PT,1603168945,96,37.32,-8.8,63.0,7.87
156,Tura,6,IN,1603168945,59,25.52,90.22,87.04,2.62
157,Yatou,60,CN,1603168945,39,37.15,122.38,68.2,11.07
158,Butaritari,100,KI,1603168945,77,3.07,172.79,82.45,11.79
159,Ellensburg,90,US,1603168945,54,47.0,-120.55,53.6,20.8
160,Ol'ga,0,RU,1603168945,42,43.74,135.29,59.22,5.93
161,Leh,0,IN,1603168945,37,34.17,77.58,44.42,2.57
162,Japura,82,ID,1603168946,71,-0.32,102.35,86.72,1.83
163,Grindavik,20,IS,1603168946,72,63.84,-22.43,32.0,6.93
164,Sisimiut,100,GL,1603168946,75,66.94,-53.67,38.35,17.0
165,Blagodarnyy,4,RU,1603168946,79,45.1,43.44,52.83,7.78
166,Tuatapere,68,NZ,1603168946,69,-46.13,167.68,52.0,11.01
167,Zverinogolovskoye,68,RU,1603168946,46,54.46,64.85,51.03,11.97
168,Sambava,58,MG,1603168946,66,-14.27,50.17,78.55,14.38
169,Kourou,64,GF,1603168946,88,5.16,-52.65,78.8,2.24
170,Severo-Kuril'sk,83,RU,1603168946,67,50.68,156.12,41.29,18.43
171,Muhos,20,FI,1603168947,92,64.81,25.99,28.4,4.7
172,Sitka,90,US,1603168947,87,57.05,-135.33,42.8,8.05
173,Richards Bay,48,ZA,1603168820,85,-28.78,32.04,72.93,8.63
174,Tasiilaq,89,GL,1603168947,92,65.61,-37.64,28.4,3.36
175,Panguna,67,PG,1603168947,89,-6.32,155.48,76.59,0.98
176,Qaanaaq,76,GL,1603168947,85,77.48,-69.36,29.75,8.16
177,Makaha,90,US,1603168947,88,21.47,-158.22,82.0,6.93
178,Palamós,64,ES,1603168947,48,41.85,3.13,62.01,12.48
179,Flinders,68,AU,1603168947,69,-34.58,150.86,68.0,7.0
180,San Patricio,40,US,1603168947,88,28.02,-97.52,79.0,11.41
181,Flin Flon,31,CA,1603168947,91,54.77,-101.86,23.02,3.49
182,Taoudenni,0,ML,1603168948,24,22.68,-3.98,76.96,14.14
183,Hambantota,40,LK,1603168948,62,6.12,81.12,89.6,17.22
184,Hirara,75,JP,1603168722,74,24.8,125.28,84.2,19.46
185,Narón,75,ES,1603168948,87,43.52,-8.15,63.0,4.7
186,Provideniya,40,RU,1603168948,80,64.38,-173.3,39.2,2.24
187,Erbil,0,IQ,1603168791,35,36.19,44.01,57.2,3.36
188,Kavaratti,20,IN,1603168948,78,10.57,72.64,82.4,5.82
189,Santa Cruz de la Sierra,75,BO,1603168683,83,-17.8,-63.17,77.0,13.87
190,Duluth,90,US,1603168948,74,46.78,-92.11,33.8,3.36
191,Los Llanos de Aridane,87,ES,1603168948,88,28.66,-17.92,75.2,19.46
192,Zhigansk,100,RU,1603168948,96,66.77,123.37,19.71,13.85
193,Söderhamn,80,SE,1603168948,75,61.3,17.06,34.0,1.99
194,Gladstone,47,AU,1603168949,51,-23.85,151.25,82.4,13.87
195,La Libertad,98,EC,1603168949,85,-2.23,-80.9,69.67,11.65
196,Souillac,40,MU,1603168949,69,-20.52,57.52,77.0,12.75
197,Maputo,0,MZ,1603168740,61,-25.97,32.59,75.99,7.0
198,Norman Wells,40,CA,1603168949,85,65.28,-126.83,14.0,8.05
199,Port Maria,99,JM,1603168949,96,18.37,-76.89,73.99,7.65
200,Nemuro,20,JP,1603168949,51,43.32,145.57,59.0,6.93
201,Padang,66,ID,1603168949,54,-0.95,100.35,88.68,7.76
202,Tornio,90,FI,1603168949,100,65.85,24.15,24.8,6.93
203,Pangkalanbuun,93,ID,1603168949,56,-2.68,111.62,90.61,2.3
204,North Myrtle Beach,75,US,1603168721,88,33.82,-78.68,69.01,6.82
205,Vostok,0,RU,1603168776,51,46.49,135.88,47.07,3.62
206,Saint Anthony,75,US,1603168950,86,45.02,-93.22,32.0,3.94
207,Crossville,1,US,1603168805,82,35.95,-85.03,62.01,3.36
208,Yenotayevka,70,RU,1603168950,75,47.25,47.03,50.16,14.03
209,Longyearbyen,75,SJ,1603168950,68,78.22,15.64,26.6,3.36
210,Long Beach,1,US,1603168753,88,33.77,-118.19,68.0,9.17
211,Bjørnevatn,75,NO,1603168950,91,69.67,29.98,35.6,14.99
212,Isangel,75,VU,1603168951,69,-19.55,169.27,78.8,11.41
213,Bozoum,80,CF,1603168951,86,6.32,16.38,66.65,2.53
214,Anadyr,40,RU,1603168845,86,64.75,177.48,37.4,13.42
215,Bethel,1,US,1603168951,87,41.37,-73.41,53.01,3.69
216,Berlevåg,40,NO,1603168951,80,70.86,29.09,35.6,11.41
217,Tessalit,0,ML,1603168951,18,20.2,1.01,76.59,8.01
218,Mundo Nuevo (Ojo de Agua),3,MX,1603168951,80,18.7,-95.5,79.32,7.31
219,Luanda,75,AO,1603168951,83,-8.84,13.23,75.2,4.7
220,Shadrinsk,98,RU,1603168951,85,56.09,63.63,46.99,6.51
221,Bonavista,22,CA,1603168951,86,48.65,-53.11,48.99,1.01
222,Ahipara,91,NZ,1603168951,69,-35.17,173.17,63.66,8.57
223,Moose Factory,75,CA,1603168952,92,51.26,-80.61,26.6,5.82
224,NEDJO,6,ET,1603168952,94,9.5,35.5,61.36,2.48
225,Florø,75,NO,1603168952,80,61.6,5.03,41.0,23.04
226,Batagay-Alyta,100,RU,1603168952,94,67.8,130.41,14.63,2.68
227,Walvis Bay,90,NA,1603168664,87,-22.96,14.51,57.0,5.82
228,Hong Kong,0,HK,1603168707,62,22.29,114.16,80.01,1.99
229,Chui,9,UY,1603168952,91,-33.7,-53.46,62.37,15.35
230,Andenes,0,NO,1603168952,79,69.31,16.12,26.6,8.05
231,Balestrand,90,NO,1603168952,81,61.21,6.53,36.0,24.16
232,Vila Velha,75,BR,1603168952,94,-20.33,-40.29,69.8,3.36
233,San Rafael del Sur,40,NI,1603168953,94,11.85,-86.44,77.0,4.7
234,Huarmey,1,PE,1603168953,87,-10.07,-78.15,61.68,6.85
235,Sarangani,77,PH,1603168953,75,5.4,125.46,83.61,17.98
236,Russell,1,US,1603168953,93,32.35,-85.2,68.0,4.76
237,Loikaw,75,MM,1603168953,75,19.67,97.21,73.71,4.83
238,Coquimbo,0,CL,1603168953,71,-29.95,-71.34,57.2,12.75
239,Tazovsky,67,RU,1603168953,97,67.47,78.7,20.01,8.57
240,Kiruna,58,SE,1603168953,92,67.86,20.23,12.2,5.82
241,Ōzu,20,JP,1603168953,49,33.5,132.55,73.4,16.11
242,Nanortalik,100,GL,1603168954,89,60.14,-45.24,35.49,4.32
243,Aswān,0,EG,1603168954,21,24.09,32.91,81.43,9.15
244,Manokwari,100,ID,1603168954,72,-0.87,134.08,84.78,8.19
245,Salalah,3,OM,1603168954,51,17.02,54.09,82.4,2.24
246,Mollendo,65,PE,1603168954,80,-17.02,-72.01,60.89,7.47
247,Arrondissement de Saint-Dizier,89,FR,1603168954,76,48.42,5.08,51.8,3.36
248,Şebinkarahisar,100,TR,1603168954,87,40.29,38.42,49.39,4.0
249,Hofn,0,IS,1603168954,75,64.25,-15.21,37.47,10.02
250,Novo Horizonte,96,BR,1603168954,78,-21.47,-49.22,72.36,11.45
251,Boralday,0,KZ,1603168954,30,43.36,76.86,55.4,2.24
252,Krasnoyarka,85,RU,1603168954,57,55.33,73.12,50.0,4.47
253,Morant Bay,75,JM,1603168955,88,17.88,-76.41,77.0,18.34
254,Callaway,1,US,1603168955,69,30.15,-85.57,73.4,6.93
255,Lagoa,9,PT,1603168955,68,39.05,-27.98,63.01,30.47
256,Casablanca,90,MA,1603168819,55,33.59,-7.62,66.2,4.7
257,Lake Shasta,18,US,1603168955,41,40.68,-122.37,70.0,5.57
258,Jerome,1,US,1603168955,53,42.72,-114.52,51.8,5.82
259,Bako,35,ET,1603168955,80,5.78,36.57,68.29,3.42
260,Nautla,3,MX,1603168955,84,20.22,-96.78,75.99,3.18
261,Port Moresby,36,PG,1603168955,81,-9.44,147.18,81.91,10.98
262,Pisco,0,PE,1603168956,82,-13.7,-76.22,61.0,8.05
263,Minzhu,0,CN,1603168956,44,43.73,127.34,62.22,11.21
264,Geraldton,40,AU,1603168956,50,-28.77,114.6,75.2,11.41
265,Dera Bugti,0,PK,1603168956,10,29.03,69.15,85.73,2.62
266,Barkhan,0,PK,1603168956,13,29.9,69.53,76.86,3.06
267,Plainview,1,US,1603168956,87,40.78,-73.47,59.0,3.36
268,Kurchum,0,KZ,1603168956,44,48.57,83.65,45.79,5.41
269,Broken Hill,96,AU,1603168817,25,-31.95,141.43,73.4,6.93
270,Olinda,40,BR,1603168957,74,-8.01,-34.86,78.8,9.17
271,Presidencia Roque Sáenz Peña,0,AR,1603168957,50,-26.79,-60.44,79.93,7.18
272,Kysyl-Syr,99,RU,1603168957,95,63.9,122.76,25.38,7.61
273,Kostomuksha,44,RU,1603168957,98,64.57,30.58,24.82,6.78
274,Kutum,5,SD,1603168695,22,14.2,24.67,72.43,7.81
275,Talcahuano,58,CL,1603168957,76,-36.72,-73.12,51.8,6.93
276,Kieta,55,PG,1603168957,72,-6.22,155.63,84.29,4.41
277,Humberto de Campos,35,BR,1603168957,82,-2.6,-43.46,77.18,7.76
278,Barrow,90,US,1603168958,79,71.29,-156.79,24.8,11.41
279,Inírida,21,CO,1603168958,88,3.87,-67.92,74.79,1.41
280,Izumo,20,JP,1603168662,52,35.37,132.77,69.8,6.93
281,Kragerø,100,NO,1603168958,94,58.87,9.41,39.0,1.99
282,Iquique,90,CL,1603168728,72,-20.22,-70.14,62.6,3.22
283,São João da Barra,100,BR,1603168958,85,-21.64,-41.05,71.94,11.14
284,Ketchikan,1,US,1603168958,100,55.34,-131.65,42.8,5.82
285,Ruidoso,1,US,1603168958,17,33.33,-105.67,57.2,9.17
286,Fortuna,90,US,1603168958,100,40.6,-124.16,55.99,5.82
287,El Dorado,1,US,1603168958,30,38.77,-120.52,69.8,6.93
288,Jambi City,57,ID,1603168958,56,-1.6,103.62,91.99,1.81
289,Kahului,20,US,1603168959,54,20.89,-156.47,84.2,4.7
290,Kamaishi,20,JP,1603168959,37,39.27,141.88,66.2,2.24
291,Karratha,0,AU,1603168959,40,-20.74,116.85,84.47,16.93
292,Burnie,10,AU,1603168959,60,-41.07,145.92,60.01,11.01
293,Airai,0,TL,1603168959,36,-8.93,125.41,81.41,5.64
294,Kruisfontein,50,ZA,1603168959,60,-34.0,24.73,62.01,5.01
295,Buta,100,CD,1603168959,98,2.79,24.73,70.97,1.77
296,Rio Negro,82,BR,1603168959,94,-26.11,-49.8,59.0,3.0
297,Atascadero,1,US,1603168959,42,35.49,-120.67,68.0,4.7
298,Sakaiminato,20,JP,1603168959,52,35.55,133.23,69.8,8.05
299,Qinhuangdao,84,CN,1603168959,36,39.93,119.59,70.02,17.74
300,Benton,90,US,1603168960,100,36.33,-94.33,50.0,3.36
301,Broome,90,US,1603168799,93,42.25,-75.83,57.0,9.17
302,Mirny,90,RU,1603168960,68,62.54,113.96,26.6,13.42
303,Samarai,26,PG,1603168960,81,-10.62,150.67,81.18,8.97
304,Champerico,99,GT,1603168960,95,14.3,-91.92,69.01,1.95
305,Oussouye,18,SN,1603168960,90,12.48,-16.55,80.08,5.01
306,Half Moon Bay,1,US,1603168960,72,37.46,-122.43,63.0,5.35
307,Umluj,0,SA,1603168960,29,25.02,37.27,87.8,5.99
308,Farroupilha,0,BR,1603168960,78,-29.23,-51.35,69.01,3.53
309,Kaitangata,91,NZ,1603168960,53,-46.28,169.85,54.01,7.63
310,Līsakovsk,76,KZ,1603168762,40,52.54,62.49,54.39,13.8
311,General Pico,0,AR,1603168865,52,-35.66,-63.76,53.37,7.05
312,Borogontsy,100,RU,1603168961,94,62.67,131.17,19.35,5.28
313,Bathsheba,40,BB,1603168961,83,13.22,-59.52,78.8,1.12
314,Bubaque,56,GW,1603168961,86,11.28,-15.83,82.35,7.2
315,Kelo,18,TD,1603168961,66,9.31,15.81,70.36,3.38
316,Sioux Lookout,75,CA,1603168961,74,50.1,-91.92,28.4,3.36
317,Biak,100,ID,1603168961,68,-0.91,122.88,83.88,8.84
318,Ixtapa,5,MX,1603168961,83,20.7,-105.2,84.0,1.39
319,Te Anau,5,NZ,1603168962,55,-45.42,167.72,52.88,6.04
320,Lanzhou,100,CN,1603168742,37,36.06,103.79,60.01,4.27
321,Ubari,22,LY,1603168962,71,26.59,12.78,62.35,16.42
322,Phan Thiet,92,VN,1603168677,71,10.93,108.1,85.12,4.36
323,Ugoofaaru,65,MV,1603168962,79,5.67,73.0,82.33,13.13
324,Yar-Sale,10,RU,1603168670,97,66.83,70.83,18.84,3.06
325,Acapulco de Juárez,22,MX,1603168937,79,16.86,-99.89,80.51,5.19
326,Paamiut,100,GL,1603168962,67,61.99,-49.67,41.67,27.07
327,Harbour Breton,72,CA,1603168962,100,47.48,-55.8,48.99,9.69
328,Praia da Vitória,20,PT,1603168962,82,38.73,-27.07,60.8,27.89
329,Aksu,0,CN,1603168963,27,41.12,80.26,63.34,1.9
330,Hobyo,0,SO,1603168963,70,5.35,48.53,82.29,11.23
331,Almaznyy,0,RU,1603168963,100,48.04,40.05,37.4,4.47
332,Changtu,0,CN,1603168963,38,42.78,124.1,68.14,21.03
333,Bandar-e Lengeh,0,IR,1603168963,47,26.56,54.88,78.8,4.7
334,Huittinen,90,FI,1603168963,98,61.18,22.7,32.0,5.82
335,Gariāband,93,IN,1603168963,62,20.64,82.06,87.8,4.7
336,Chase,68,CA,1603168963,96,50.82,-119.69,36.0,3.69
337,Kavieng,98,PG,1603168963,69,-2.57,150.8,83.68,2.77
338,Rudnogorsk,98,RU,1603168963,90,57.26,103.75,27.63,11.18
339,Klaksvík,26,FO,1603168963,69,62.23,-6.59,37.4,5.82
340,Coahuayana Viejo,54,MX,1603168964,88,18.73,-103.68,78.48,1.99
341,Olafsvik,65,IS,1603168964,75,64.89,-23.71,38.77,11.12
342,Kondinskoye,96,RU,1603168964,97,59.65,67.41,35.26,7.18
343,Tateyama,75,JP,1603168964,63,34.98,139.87,71.01,18.34
344,Paita,8,PE,1603168964,86,-5.09,-81.11,63.37,7.72
345,Santa Marta,100,CO,1603168964,92,11.24,-74.2,75.99,1.01
346,Novokizhinginsk,100,RU,1603168964,84,51.61,109.59,30.33,15.14
347,Xining,19,CN,1603168679,44,36.62,101.77,48.54,3.8
348,Campbellsville,40,US,1603168964,100,37.34,-85.34,64.4,9.17
349,Novobirilyussy,100,RU,1603168964,95,56.95,90.67,33.01,11.16
350,Cayenne,53,GF,1603168965,88,4.93,-52.33,78.8,2.24
351,Riwaka,100,NZ,1603168965,55,-41.08,173.0,66.0,4.0
352,Shakawe,0,BW,1603168965,21,-18.37,21.85,71.47,5.61
353,Mthatha,90,ZA,1603168965,100,-31.59,28.78,55.4,9.17
354,Tonstad,100,NO,1603168965,94,58.66,6.72,46.0,1.99
355,Zdvinsk,100,RU,1603168965,71,54.7,78.66,44.47,10.02
356,Medicine Hat,90,CA,1603168771,80,50.05,-110.67,30.2,8.05
357,Río Gallegos,45,AR,1603168882,64,-51.62,-69.22,39.2,23.04
358,Lagos,40,NG,1603168965,94,6.58,3.75,73.4,2.24
359,Antalaha,50,MG,1603168965,69,-14.9,50.28,79.11,11.43
360,Lamar,1,US,1603168679,87,33.67,-95.58,57.2,5.82
361,Ishim,51,RU,1603168965,78,56.11,69.49,47.07,5.95
362,Currais Novos,100,BR,1603168966,85,-6.26,-36.52,68.97,20.76
363,Dhidhdhoo,19,MV,1603168966,77,6.88,73.1,82.38,14.41
364,Mayor Pablo Lagerenza,19,PY,1603168966,82,-19.93,-60.77,74.64,4.54
365,Malatya Province,20,TR,1603168966,71,38.5,38.0,51.8,8.05
366,Tromsø,0,NO,1603168966,85,69.65,18.96,24.8,6.93
367,Kano,0,NG,1603168966,88,12.0,8.52,68.0,5.82
368,Logan Lake,75,CA,1603168966,75,50.5,-120.8,44.6,13.87
369,Goundam,0,ML,1603168966,17,16.41,-3.67,84.45,10.94
370,Wajima,40,JP,1603168967,52,37.4,136.9,68.0,10.29
